,tavg,tmin,tmax,zip,date,park
Yankee Stadium2010-09-23T00:00:00,18.8,14.5,23.1,10462,2010-09-23T00:00:00,Yankee Stadium
Yankee Stadium2010-09-24T00:00:00,18.6,14.3,22.8,10462,2010-09-24T00:00:00,Yankee Stadium
Yankee Stadium2010-09-25T00:00:00,18.3,14.1,22.6,10462,2010-09-25T00:00:00,Yankee Stadium
Yankee Stadium2010-09-26T00:00:00,18.1,13.8,22.3,10462,2010-09-26T00:00:00,Yankee Stadium
Yankee Stadium2010-09-27T00:00:00,17.8,13.6,22.1,10462,2010-09-27T00:00:00,Yankee Stadium
Yankee Stadium2010-09-28T00:00:00,17.6,13.3,21.9,10462,2010-09-28T00:00:00,Yankee Stadium
Yankee Stadium2010-09-29T00:00:00,17.4,13.1,21.7,10462,2010-09-29T00:00:00,Yankee Stadium
Yankee Stadium2010-09-30T00:00:00,17.2,12.8,21.4,10462,2010-09-30T00:00:00,Yankee Stadium
Yankee Stadium2010-10-01T00:00:00,16.9,12.6,21.2,10462,2010-10-01T00:00:00,Yankee Stadium
Yankee Stadium2010-10-02T00:00:00,16.7,12.4,21.0,10462,2010-10-02T00:00:00,Yankee Stadium
Yankee Stadium2010-10-03T00:00:00,16.5,12.2,20.8,10462,2010-10-03T00:00:00,Yankee Stadium
Yankee Stadium2010-10-04T00:00:00,16.3,11.9,20.6,10462,2010-10-04T00:00:00,Yankee Stadium
Yankee Stadium2010-10-05T00:00:00,16.1,11.7,20.3,10462,2010-10-05T00:00:00,Yankee Stadium
Yankee Stadium2010-10-06T00:00:00,15.8,11.6,20.2,10462,2010-10-06T00:00:00,Yankee Stadium
Yankee Stadium2010-10-07T00:00:00,15.6,11.3,19.9,10462,2010-10-07T00:00:00,Yankee Stadium
Yankee Stadium2010-10-08T00:00:00,15.4,11.1,19.7,10462,2010-10-08T00:00:00,Yankee Stadium
Yankee Stadium2010-10-09T00:00:00,15.2,10.9,19.6,10462,2010-10-09T00:00:00,Yankee Stadium
Yankee Stadium2010-10-10T00:00:00,15.1,10.7,19.3,10462,2010-10-10T00:00:00,Yankee Stadium
Yankee Stadium2010-10-11T00:00:00,14.8,10.6,19.2,10462,2010-10-11T00:00:00,Yankee Stadium
Yankee Stadium2010-10-12T00:00:00,14.7,10.4,18.9,10462,2010-10-12T00:00:00,Yankee Stadium
Yankee Stadium2010-10-13T00:00:00,14.5,10.2,18.8,10462,2010-10-13T00:00:00,Yankee Stadium
Yankee Stadium2010-10-14T00:00:00,14.3,10.0,18.6,10462,2010-10-14T00:00:00,Yankee Stadium
Yankee Stadium2010-10-15T00:00:00,14.1,9.8,18.4,10462,2010-10-15T00:00:00,Yankee Stadium
Yankee Stadium2010-10-16T00:00:00,13.9,9.7,18.2,10462,2010-10-16T00:00:00,Yankee Stadium
Yankee Stadium2010-10-17T00:00:00,13.8,9.6,18.1,10462,2010-10-17T00:00:00,Yankee Stadium
